iter	Passed	Remaining
0	2	245
1	4	207
2	5	191
3	7	178
4	9	175
5	10	172
6	12	168
7	14	164
8	15	160
9	17	156
10	18	153
11	20	150
12	22	147
13	23	144
14	25	144
15	26	140
16	28	136
17	29	133
18	30	129
19	31	125
20	32	121
21	33	117
22	34	114
23	34	110
24	35	106
25	36	103
26	36	99
27	37	96
28	38	94
29	39	91
30	40	89
31	41	87
32	41	85
33	42	83
34	43	81
35	44	79
36	45	77
37	46	75
38	47	73
39	47	71
40	48	69
41	49	67
42	49	66
43	50	64
44	51	63
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	54
51	58	53
52	59	52
53	59	51
54	60	49
55	61	48
56	62	46
57	63	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	68	37
65	69	35
66	70	34
67	71	33
68	71	32
69	72	31
70	73	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	82	19
81	84	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	92	9
91	94	8
92	95	7
93	96	6
94	96	5
95	97	4
96	98	3
97	98	2
98	99	1
99	99	0
