iter	Passed	Remaining
0	227	226978
1	228	113946
2	229	76156
3	229	57246
4	230	45897
5	231	38332
6	232	32951
7	233	28918
8	234	25771
9	234	23248
10	235	21182
11	239	19712
12	240	18280
13	241	17017
14	242	15918
15	243	14952
16	243	14098
17	244	13341
18	245	12661
19	245	12050
20	246	11497
21	247	10993
22	247	10533
23	248	10111
24	249	9724
25	250	9365
26	251	9065
27	253	8787
28	254	8505
29	254	8235
30	255	7982
31	255	7743
32	256	7524
33	257	7319
34	258	7123
35	259	6937
36	259	6759
37	260	6589
38	260	6429
39	261	6276
40	262	6131
41	262	5993
42	264	5889
43	266	5785
44	266	5665
45	267	5551
46	268	5439
47	268	5333
48	269	5232
49	270	5135
50	270	5042
51	271	4951
52	272	4864
53	272	4780
54	273	4698
55	274	4620
56	274	4545
57	275	4472
58	276	4401
59	278	4358
60	279	4304
61	280	4250
62	281	4191
63	282	4132
64	283	4074
65	283	4017
66	284	3961
67	285	3908
68	285	3856
69	286	3805
70	287	3757
71	287	3708
72	288	3662
73	289	3617
74	289	3573
75	291	3546
76	293	3519
77	294	3480
78	295	3442
79	296	3407
80	297	3369
81	297	3333
82	298	3294
83	298	3260
84	299	3227
85	300	3194
86	301	3160
87	301	3128
88	302	3096
89	303	3066
90	304	3036
91	306	3028
92	308	3009
93	309	2983
94	310	2956
95	311	2930
96	311	2903
97	312	2877
98	313	2851
99	314	2826
100	314	2802
101	315	2777
102	316	2754
103	316	2730
104	317	2708
105	319	2696
106	321	2682
107	322	2662
108	323	2643
109	324	2624
110	325	2604
111	325	2584
112	326	2563
113	327	2544
114	328	2525
115	329	2514
116	330	2496
117	331	2480
118	333	2471
119	335	2460
120	336	2447
121	337	2430
122	338	2414
123	339	2398
124	340	2382
125	341	2366
126	341	2349
127	342	2334
128	343	2319
129	344	2308
130	347	2307
131	348	2293
132	349	2280
133	350	2266
134	351	2253
135	352	2241
136	353	2228
137	354	2215
138	355	2204
139	357	2194
140	358	2182
141	358	2167
142	359	2155
143	360	2143
144	361	2130
145	362	2119
146	363	2107
147	366	2109
148	367	2100
149	368	2088
150	369	2077
151	370	2066
152	371	2054
153	371	2043
154	372	2031
155	373	2020
156	374	2009
157	375	1999
158	376	1991
159	378	1988
160	381	1985
161	382	1979
162	383	1969
163	384	1958
164	385	1948
165	385	1938
166	386	1928
167	388	1925
168	389	1917
169	393	1923
170	394	1913
171	395	1904
172	396	1894
173	396	1884
174	397	1876
175	402	1883
176	403	1875
177	404	1866
178	405	1857
179	406	1853
180	408	1846
181	410	1843
182	411	1835
183	412	1827
184	413	1819
185	413	1811
186	414	1802
187	415	1793
188	415	1784
189	416	1776
190	417	1767
191	417	1759
192	419	1755
193	421	1750
194	422	1744
195	423	1737
196	424	1729
197	425	1722
198	426	1715
199	426	1707
200	427	1700
201	428	1694
202	429	1687
203	430	1679
204	431	1672
205	432	1665
206	433	1661
207	436	1660
208	438	1659
209	439	1653
210	440	1647
211	441	1640
212	442	1633
213	443	1627
214	443	1620
215	444	1614
